Company Names,Cars Names,HP,Speed,Seats,Price,Year,Fuel_Type,Mileage,Transmission,Owner_Type,Safety_Rating
FERRARI,SF90 STRADALE,963.0,340,2,621743.5707650562,2016,Hybrid,23.68,Manual,Second,4
ROLLS ROYCE,PHANTOM,563.0,250,5,460568.67849414406,2013,Petrol,24.51,Automatic,Second,3
Ford,KA+,70.0,165,5,154638.44269050346,2022,Hybrid,12.78,Manual,Second,1
MERCEDES, GT 63 S,630.0,250,4,470215.14928204013,2024,Diesel,16.93,Manual,Second,3
AUDI,AUDI R8 Gt,602.0,320,2,460869.23312638333,2020,Electric,10.02,Automatic,Second,3
BMW,Mclaren 720s,710.0,341,2,613029.3152152541,2017,Petrol,18.97,Manual,Third,4
ASTON MARTIN,VANTAGE F1,656.0,314,2,621016.0640775369,2022,Petrol,19.11,Manual,Third,4
BENTLEY,Continental GT Azure,550.0,318,4,464837.17364576453,2014,Diesel,13.71,Automatic,Third,3
LAMBORGHINI,VENENO ROADSTER,750.0,356,2,312652.62807032524,2016,Electric,18.38,Manual,Third,2
FERRARI,F8 TRIBUTO,710.0,340,2,616912.8002179299,2019,Hybrid,13.38,Automatic,First,4
FERRARI,812 GTS,789.0,340,2,763462.9115359377,2012,Electric,12.41,Manual,Third,5
FERRARI,PORTOFINO,592.0,320,4,759511.3512321487,2016,Diesel,19.77,Manual,Second,5
FERRARI,ROMA,612.0,320,4,163449.81135783016,2020,Diesel,14.89,Manual,Third,1
FERRARI,MONZA SP2,789.0,340,2,456213.59877671103,2020,Electric,18.85,Manual,First,3
FERRARI,F8 SPIDER,710.0,340,2,305575.4108374348,2017,Hybrid,16.5,Automatic,Second,2
FERRARI,PORTOFINO M,612.0,320,4,159428.56235379513,2014,Hybrid,24.77,Manual,Third,1
FERRARI,ROMA SPIDER,612.0,320,4,457175.84439832787,2013,Petrol,12.24,Automatic,Third,3
TOYOTA,GR SUPRA,382.0,250,2,609211.2366629763,2017,Hybrid,16.97,Manual,Third,4
TOYOTA,TOYOTA 86,205.0,226,4,749559.879622394,2017,Electric,20.21,Manual,Second,5
TOYOTA,TOYOTA  GR86,228.0,226,4,297498.4814933235,2012,Diesel,15.93,Manual,Second,2
TOYOTA,TOYOTA LAND CRUISER,381.0,220,7,764948.2438446077,2015,Petrol,24.62,Manual,First,5
TOYOTA,TOYOTA SEQUOIA,381.0,200,7,606491.1184975674,2014,Petrol,20.83,Automatic,Second,4
NISSAN,GT-R,600.0,315,4,462337.64102343965,2011,Diesel,19.85,Automatic,Second,3
NISSAN,370Z,332.0,250,2,599516.2590689327,2017,Hybrid,21.36,Automatic,Third,4
NISSAN,Z PROTO,400.0,290,2,605278.0863773741,2021,Diesel,24.29,Automatic,Second,4
NISSAN,ALTIMA,188.0,225,5,754314.6129485493,2023,Hybrid,23.62,Manual,Third,5
NISSAN,MAXIMA,300.0,240,5,300245.03211288847,2015,Diesel,20.86,Automatic,Third,2
NISSAN,SENTRA,149.0,200,5,604858.4900917284,2011,Electric,21.24,Automatic,Second,4
NISSAN,ROGUE,201.0,200,5,751016.8065504059,2021,Hybrid,12.19,Manual,First,5
NISSAN,PATHFINDER,284.0,225,7,304221.5312510336,2014,Electric,11.54,Manual,First,2
NISSAN,FRONTIER,310.0,180,5,453191.46693885303,2010,Petrol,18.56,Manual,Second,3
NISSAN,TITAN,400.0,200,5,467261.3909225447,2021,Diesel,10.28,Manual,First,3
ASTON MARTIN,VALKYRIE,1160.0,402,2,173132.51387631032,2019,Petrol,17.24,Automatic,Third,1
ASTON MARTIN,VALHALLA,1000.0,362,2,764711.4453552205,2015,Petrol,13.16,Automatic,Third,5
ASTON MARTIN,DBS SUPERLEGGERA,715.0,340,2,318412.72456051596,2022,Petrol,15.19,Manual,Second,2
ASTON MARTIN,DB11,600.0,322,4,605895.7817501449,2021,Petrol,21.64,Manual,First,4
ASTON MARTIN,VANTAGE ,503.0,313,2,461104.31797502376,2018,Diesel,24.12,Manual,First,3
ASTON MARTIN,DBX,542.0,291,5,301041.6493806011,2010,Petrol,11.09,Automatic,Third,2
ASTON MARTIN,RAPIDE AMR,580.0,328,4,754959.0697555079,2020,Diesel,18.01,Automatic,Second,5
ASTON MARTIN,VANQUISH,580.0,324,2,162584.3061793456,2020,Diesel,23.24,Manual,First,1
